id_esc30,latitude,longitude,site_id,site_name,snow_depth_1,snow_depth_2,snow_mass_1,snow_mass_2,snow_rho_1,snow_rho_2
1,79.93669502,-86.64656273,1,transect,0.28,0.08,0.304,0.064,372,274
2,79.94104556,-86.64860582,1,transect,0.12,0.22,0.119,0.209,339,325
3,79.94568704,-86.64963218,1,transect,0.18,0.24,0.169,0.259,321,369
4,79.94941422,-86.65131711,1,transect,0.15,0.23,0.144,0.219,328,326
5,79.95357315,-86.6528769,1,transect,0.18,0.13,0.164,0.104,312,274
6,79.95733285,-86.65370587,1,transect,0.07,0.12,0.054,0.119,264,339
7,79.96013216,-86.65337881,1,transect,0.22,0.15,0.184,0.114,286,260
8,79.96348316,-86.65289207,1,transect,0.18,0.15,0.149,0.129,283,294
9,79.96663769,-86.65649696,1,transect,0.08,0.28,0.064,0.244,274,298
10,79.96949684,-86.65820813,1,transect,0.53,0.55,0.514,0.494,332,307
11,79.97287022,-86.65957966,1,transect,0.32,0.31,0.309,0.274,330,302
12,79.97578955,-86.66111279,1,transect,0.2,0.18,0.164,0.164,281,312
13,79.97855114,-86.6623876,1,transect,0.4,0.39,0.344,0.384,294,337
14,79.98183332,-86.66387689,1,transect,0.2,0.08,0.194,0.084,332,359
15,79.98496489,-86.66445851,1,transect,0.15,0.12,0.154,0.114,351,325
16,79.98858553,-86.66520392,1,transect,0.1,0.23,0.144,0.254,493,378
17,79.99239578,-86.66683294,1,transect,0.32,0.24,0.344,0.234,368,334
18,79.99583068,-86.66868953,1,transect,0.28,0.14,0.274,0.119,335,291
19,79.99968016,-86.67075274,1,transect,0.1,0.15,0.099,0.144,339,328
20,80.00306133,-86.67177717,1,transect,0.12,0.08,0.094,0.049,268,210
21,80.00979007,-86.67418085,1,transect,0.58,0.32,0.549,0.294,324,314
22,80.00980097,-86.67416677,1,transect,0.23,0.2,0.244,0.194,363,332
23,80.01338147,-86.67556009,1,transect,0.24,0.07,0.254,0.029,362,142
24,80.01789311,-86.67808975,1,transect,0.22,0.24,0.184,0.234,286,334
25,80.02086969,-86.67890707,1,transect,0.06,0.12,0.029,0.084,165,240
26,80.02442085,-86.68055269,1,transect,0.15,0.17,0.114,0.134,260,270
27,80.02809833,-86.68283357,1,transect,0.08,0.3,0.074,0.324,317,370
28,80.03161026,-86.68478639,1,transect,0.27,0.58,0.234,0.579,297,342
29,80.0365488,-86.68534789,1,transect,0.29,0.27,0.324,0.239,382,303
30,80.04156184,-86.68674038,1,transect,0.24,0.05,0.249,0.034,355,233
31,80.04454941,-86.68843621,1,transect,0.39,0.41,0.519,0.494,455,412
32,80.04667673,-86.68969047,1,transect,0.12,0.08,0.149,0.084,425,359
33,80.04888612,-86.69025701,1,transect,0.14,0.07,0.189,0.069,462,337
34,80.05140807,-86.69106083,1,transect,0.16,0.23,0.124,0.259,265,385
35,80.05435062,-86.69404261,1,transect,0.25,0.16,0.234,0.209,320,447
36,80.05715101,-86.69654721,1,transect,0.39,0.42,0.454,0.364,398,297
37,80.06085665,-86.6989803,1,transect,0.15,0.13,0.159,0.094,363,247
38,80.06476966,-86.69910234,1,transect,0.14,0.07,0.139,0.044,340,215
39,80.06792327,-86.69771992,1,transect,0.08,0.19,0.064,0.194,274,349
40,80.05864282,-86.698252,1,transect,0.09,0.06,0.094,0.059,357,336
41,80.06103912,-86.69869968,1,transect,0.15,0.21,0.124,0.214,283,349
42,80.06378646,-86.69943033,1,transect,0.07,0.09,0.054,0.104,264,395
43,80.06553954,-86.69813968,1,transect,0.32,0.34,0.309,0.329,330,331
44,80.06760207,-86.69753987,1,transect,0.27,0.15,0.264,0.154,335,351
45,80.06993878,-86.69915523,1,transect,0.12,0.07,0.094,0.049,268,240
46,80.07187173,-86.70020976,1,transect,0.08,0.15,0.059,0.144,252,328
47,80.07441069,-86.70140024,1,transect,0.13,0.24,0.174,0.264,458,376
48,80.07642721,-86.70185555,1,transect,0.13,0.08,0.124,0.064,326,274
49,80.07884799,-86.70296942,1,transect,0.38,0.29,0.474,0.324,427,382
50,80.08179833,-86.70519121,1,transect,0.1,0.3,0.064,0.344,219,392
51,80.08470308,-86.70642779,1,transect,0.09,0.18,0.069,0.214,262,407
52,80.08745771,-86.70745751,1,transect,0.22,0.13,0.314,0.149,488,392
53,80.09018962,-86.70848111,1,transect,0.15,0.15,0.114,0.169,260,386
54,80.09266631,-86.70988415,1,transect,0.08,0.18,0.094,0.184,402,350
55,80.09633456,-86.71138083,1,transect,0.12,0.31,0.114,0.354,325,391
56,80.09923026,-86.70850776,1,transect,0.08,0.12,0.074,0.114,317,325
57,80.10248353,-86.7107371,1,transect,0.12,0.22,0.119,0.219,339,341
58,80.10535098,-86.71296015,1,transect,0.24,0.13,0.249,0.114,355,300
59,80.10833485,-86.71675857,1,transect,0.14,0.31,0.144,0.284,352,313
60,80.11112317,-86.71801066,1,transect,0.15,0.08,0.144,0.049,328,210
61,80.1137478,-86.71949937,1,transect,0.15,0.14,0.139,0.174,317,425
62,80.11644803,-86.71999851,1,transect,0.18,0.32,0.139,0.284,264,304
63,80.11880343,-86.72131372,1,transect,0.18,0.14,0.149,0.104,283,254
64,80.12177599,-86.7223457,1,transect,0.08,0.18,0.054,0.164,231,312
65,80.12472541,-86.72355269,1,transect,0.17,0.23,0.154,0.194,310,289
66,80.12773745,-86.72440572,1,transect,0.27,0.12,0.314,0.084,398,240
67,80.13064396,-86.72473638,1,transect,0.34,0.22,0.319,0.194,321,302
68,80.13378658,-86.72574992,1,transect,0.18,0.18,0.169,0.174,321,331
69,80.1363895,-86.72695264,1,transect,0.19,0.07,0.209,0.049,376,240
70,80.13912267,-86.72807967,1,transect,0.18,0.1,0.139,0.079,264,270
71,80.14114439,-86.72886162,1,transect,0.21,0.24,0.209,0.234,341,334
72,80.14239145,-86.72938306,1,transect,0.14,0.14,0.124,0.114,303,279
73,80.14474592,-86.73032317,1,transect,0.16,0.15,0.144,0.174,308,397
74,80.14680955,-86.73112004,1,transect,0.25,0.28,0.194,0.254,266,310
75,80.14871651,-86.73176419,1,transect,0.26,0.2,0.214,0.184,282,315
76,80.15065081,-86.73279257,1,transect,0.2,0.24,0.194,0.244,332,348
77,80.15264184,-86.73328727,1,transect,0.12,0.23,0.109,0.224,311,333
78,80.15461419,-86.73452552,1,transect,0.22,0.06,0.214,0.049,333,279
79,80.15784533,-86.73625312,1,transect,0.18,0.13,0.164,0.134,312,353
80,80.16027541,-86.73723992,1,transect,0.08,0.1,0.069,0.084,295,287
81,80.16225949,-86.73830744,1,transect,0.18,0.23,0.164,0.174,312,259
82,80.16423234,-86.73929977,1,transect,0.22,0.25,0.174,0.234,271,320
83,80.16618918,-86.74054029,1,transect,0.27,0.2,0.274,0.204,347,349
84,80.16810587,-86.74172692,1,transect,0.24,0.2,0.234,0.214,334,366
85,80.17025641,-86.74269,1,transect,0.11,0.14,0.084,0.134,261,328
86,80.17240444,-86.74344253,1,transect,0.07,0.24,0.034,0.229,166,326
87,80.17485783,-86.74470384,1,transect,0.2,0.32,0.184,0.314,315,336
88,80.1772517,-86.74600001,1,transect,0.14,0.27,0.134,0.269,328,341
89,80.17922865,-86.74702051,1,transect,0.27,0.18,0.269,0.169,341,321
90,80.18144039,-86.74831954,1,transect,0.27,0.08,0.234,0.069,297,295
91,80.18332045,-86.74892647,1,transect,0.18,0.14,0.169,0.124,321,303
92,80.18486498,-86.7495982,1,transect,0.1,0.27,0.094,0.234,322,297
93,80.18692944,-86.74972242,1,transect,0.1,0.13,0.079,0.104,270,274
94,80.1890297,-86.75067561,1,transect,0.33,0.12,0.274,0.109,284,311
95,80.19125559,-86.75123929,1,transect,0.15,0.17,0.144,0.139,328,280
96,80.19340589,-86.75190247,1,transect,0.07,0.19,0.034,0.144,166,259
97,80.19592918,-86.75292615,1,transect,0.15,0.11,0.144,0.079,328,246
98,80.19808534,-86.75358455,1,transect,0.27,0.1,0.214,0.059,271,202
99,80.20042087,-86.754842,1,transect,0.23,0.23,0.174,0.234,259,348
100,80.2027896,-86.75587088,1,transect,0.25,0.27,0.239,0.269,327,341
101,80.20478474,-86.75686992,1,transect,0.27,0.15,0.234,0.079,297,180
102,80.20734943,-86.75812469,1,transect,0.25,0.12,0.234,0.094,320,268
103,80.20928976,-86.75880488,1,transect,0.27,0.28,0.239,0.254,303,310
104,80.21113847,-86.75959957,1,transect,0.25,0.32,0.239,0.309,327,330
105,80.21369688,-86.76063758,1,transect,0.26,0.23,0.194,0.194,255,289
106,80.21588632,-86.76149329,1,transect,0.23,0.18,0.184,0.144,274,274
107,80.21775708,-86.76238353,1,transect,0.27,0.2,0.279,0.169,354,289
108,80.21947553,-86.76277991,1,transect,0.23,0.27,0.184,0.214,274,271
109,80.2212903,-86.76344317,1,transect,0.1,0.13,0.054,0.079,185,208
110,80.22361351,-86.76431162,1,transect,0.24,0.27,0.194,0.209,277,265
111,80.22526424,-86.76514462,1,transect,0.25,0.2,0.219,0.144,300,246
112,80.22682814,-86.76557737,1,transect,0.22,0.27,0.149,0.214,232,271
113,80.22853922,-86.76657616,1,transect,0.33,0.15,0.344,0.099,357,226
114,80.23028626,-86.76794727,1,transect,0.19,0.25,0.144,0.224,259,307
115,80.23190548,-86.76914505,1,transect,0.25,0.17,0.194,0.134,266,270
116,80.23361036,-86.76991635,1,transect,0.25,0.25,0.204,0.209,279,286
117,80.23518926,-86.77094942,1,transect,0.15,0.19,0.104,0.164,237,295
118,80.23654955,-86.7713137,1,transect,0.37,0.23,0.394,0.189,364,281
119,80.23829341,-86.77208198,1,transect,0.23,0.19,0.184,0.144,274,259
120,80.24004246,-86.77080215,1,transect,0.28,0.15,0.274,0.104,335,237
121,80.24140402,-86.77120037,1,transect,0.2,0.2,0.159,0.174,272,298
122,80.24257673,-86.77144202,1,transect,0.26,0.33,0.244,0.374,321,388
123,80.24393669,-86.7720332,1,transect,0.18,0.12,0.124,0.084,236,240
124,80.24535265,-86.77232162,1,transect,0.23,0.37,0.179,0.424,266,392
125,80.24698067,-86.77292168,1,transect,0.23,0.32,0.194,0.254,289,272
126,80.24831674,-86.77355913,1,transect,0.24,0.2,0.189,0.214,269,366
127,80.2504035,-86.77428626,1,transect,0.26,0.3,0.194,0.254,255,290
128,80.25254139,-86.77469714,1,transect,0.13,0.23,0.079,0.214,208,318
129,80.25474474,-86.77603874,1,transect,0.21,0.17,0.234,0.189,381,380
130,80.25708673,-86.77755193,1,transect,0.43,0.13,0.424,0.084,337,221
131,80.25933584,-86.77886554,1,transect,0.3,0.08,0.274,0.039,313,167
132,80.26202945,-86.77987196,1,transect,0.45,0.43,0.384,0.354,292,282
133,80.26441553,-86.78067922,1,transect,0.17,0.21,0.129,0.134,260,218
134,80.26741591,-86.78322639,1,transect,0.23,0.3,0.159,0.254,237,290
135,80.26969688,-86.78439089,1,transect,0.13,0.23,0.084,0.179,221,266
136,80.27198623,-86.78503429,1,transect,0.13,0.25,0.089,0.234,234,320
137,80.27398716,-86.78514166,1,transect,0.15,0.2,0.104,0.159,237,272
138,80.27620509,-86.78485567,1,transect,0.17,0.23,0.139,0.204,280,303
139,80.27840207,-86.78603768,1,transect,0.15,0.17,0.134,0.134,306,270
140,80.27974268,-86.78644119,1,transect,0.27,0.25,0.234,0.229,297,313
141,80.28224543,-86.78768984,1,transect,0.25,0.23,0.199,0.144,272,214
142,80.28433797,-86.78912122,1,transect,0.1,0.27,0.064,0.244,219,309
143,80.28686285,-86.79009813,1,transect,0.1,0.09,0.059,0.054,202,205
144,80.2887901,-86.79129087,1,transect,0.27,0.19,0.229,0.144,290,259
145,80.29084652,-86.79224398,1,transect,0.15,0.2,0.109,0.174,249,298
146,80.29311349,-86.79318636,1,transect,0.13,0.14,0.084,0.094,221,230
147,80.29578924,-86.79458873,1,transect,0.23,0.32,0.229,0.269,341,288
148,80.29800894,-86.79552751,1,transect,0.18,0.2,0.144,0.159,274,272
149,80.30036677,-86.79698219,1,transect,0.18,0.2,0.199,0.224,378,383
150,80.30299064,-86.79812053,1,transect,0.17,0.09,0.144,0.044,290,167
151,80.30514001,-86.79823075,1,transect,0.14,0.18,0.154,0.154,376,293
152,80.3073939,-86.7987703,1,transect,0.17,0.18,0.144,0.149,290,283
153,80.30964805,-86.79911798,1,transect,0.25,0.24,0.204,0.219,279,312
154,80.31213395,-86.79926718,1,transect,0.18,0.27,0.134,0.214,255,271
155,80.31426178,-86.80044274,1,transect,0.13,0.18,0.084,0.134,221,255
156,80.31648248,-86.80181108,1,transect,0.1,0.15,0.054,0.134,185,306
157,80.31863756,-86.80258004,1,transect,0.09,0.13,0.079,0.104,300,274
158,80.3208772,-86.80399507,1,transect,0.22,0.05,0.214,0.039,333,267
159,80.32366997,-86.80529636,1,transect,0.18,0.16,0.144,0.149,274,319
160,80.3256605,-86.80595518,1,transect,0.15,0.18,0.164,0.154,374,293
161,80.32738575,-86.80678356,1,transect,0.16,0.27,0.154,0.214,329,271
162,80.32992379,-86.80728866,1,transect,0.25,0.2,0.234,0.224,320,383
163,80.33201658,-86.8078049,1,transect,0.33,0.43,0.344,0.304,357,242
164,80.33363211,-86.80841929,1,transect,0.2,0.25,0.174,0.284,298,389
165,80.33559725,-86.8098148,1,transect,0.16,0.08,0.149,0.074,319,317
166,80.33742752,-86.81118264,1,transect,0.18,0.26,0.189,0.314,359,413
167,80.33979826,-86.81339521,1,transect,0.16,0.2,0.174,0.224,372,383
168,80.34153675,-86.81403223,1,transect,0.18,0.13,0.209,0.099,397,261
169,80.34369157,-86.81553972,1,transect,0.25,0.08,0.304,0.064,416,274
170,80.3456609,-86.81662811,1,transect,0.24,0.4,0.264,0.129,376,110
171,80.34730274,-86.81743587,1,transect,0.21,0.07,0.234,0.039,381,191
172,80.34874837,-86.81803141,1,transect,0.19,0.46,0.214,0.524,385,390
173,80.35083328,-86.81807784,1,transect,0.27,0.16,0.284,0.204,360,436
174,80.10118526,-86.71046644,2,grid1,0.13,0.1,0.084,0.069,221,236
175,80.10113446,-86.71350413,2,grid1,0.13,0.23,0.114,0.229,300,341
176,80.10112952,-86.71624116,2,grid1,0.13,0.19,0.144,0.209,379,376
177,80.10180158,-86.71645531,2,grid1,0.25,0.18,0.214,0.154,293,293
178,80.10203878,-86.71648993,2,grid1,0.13,0.22,0.104,0.229,274,356
179,80.10206284,-86.71380051,2,grid1,0.17,0.18,0.129,0.174,260,331
180,80.10209821,-86.71081848,2,grid1,0.11,0.17,0.089,0.184,277,370
181,80.10298376,-86.71129751,2,grid1,0.17,0.11,0.134,0.114,270,355
182,80.10296272,-86.71411593,2,grid1,0.17,0.24,0.149,0.254,300,362
183,80.10294956,-86.71694616,2,grid1,0.25,0.11,0.254,0.109,348,339
184,80.10387568,-86.71712,2,grid1,0.18,0.1,0.144,0.094,274,322
185,80.10385506,-86.71461658,2,grid1,0.28,0.23,0.304,0.234,372,348
186,80.10388683,-86.71163916,2,grid1,0.2,0.13,0.199,0.109,340,287
187,80.10476709,-86.71198458,2,grid1,0.15,0.24,0.124,0.294,283,419
188,80.10475544,-86.71493308,2,grid1,0.15,0.22,0.139,0.174,317,271
189,80.10471647,-86.71768226,2,grid1,0.18,0.18,0.154,0.159,293,302
190,80.10563336,-86.71796825,2,grid1,0.23,0.25,0.209,0.269,311,368
191,80.10565809,-86.71490684,2,grid1,0.16,0.12,0.134,0.104,287,297
192,80.10571986,-86.71208038,2,grid1,0.14,0.23,0.094,0.169,230,251
193,80.21961752,-86.7577413,3,grid2,0.15,0.1,0.149,0.064,340,219
194,80.21952256,-86.76082484,3,grid2,0.29,0.05,0.189,0.034,223,233
195,80.21952524,-86.76359346,3,grid2,0.15,0.24,0.134,0.164,306,234
196,80.22033761,-86.76359363,3,grid2,0.1,0.2,0.049,0.149,168,255
197,80.22035773,-86.76087379,3,grid2,0.16,0.33,0.174,0.204,372,212
198,80.22043719,-86.75791766,3,grid2,0.1,0.15,0.074,0.124,253,283
199,80.22131478,-86.75842401,3,grid2,0.28,0.26,0.294,0.274,359,361
200,80.22128712,-86.76121124,3,grid2,0.44,0.15,0.489,0.114,380,260
201,80.22125376,-86.76408473,3,grid2,0.19,0.42,0.134,0.434,241,354
202,80.22218985,-86.76468856,3,grid2,0.27,0.13,0.249,0.119,316,313
203,80.22216571,-86.76149447,3,grid2,0.23,0.18,0.174,0.154,259,293
204,80.2222284,-86.75870983,3,grid2,0.28,0.39,0.219,0.384,268,337
205,80.22309576,-86.75900035,3,grid2,0.13,0.35,0.099,0.319,261,312
206,80.22302242,-86.76197156,3,grid2,0.25,0.34,0.204,0.299,279,301
207,80.22301571,-86.76514579,3,grid2,0.14,0.53,0.109,0.454,266,293
208,80.22391878,-86.76555206,3,grid2,0.19,0.27,0.244,0.224,439,284
209,80.2239565,-86.76230399,3,grid2,0.18,0.14,0.154,0.084,293,205
210,80.2239876,-86.75957752,3,grid2,0.31,0.15,0.334,0.104,369,237
211,79.94243117,-86.64433482,3,grid3,0.19,0.08,0.194,0.069,349,295
212,79.94238264,-86.64717268,3,grid3,0.13,0.15,0.114,0.144,300,328
213,79.94325863,-86.65036971,3,grid3,0.25,0.19,0.264,0.209,361,376
214,79.94328428,-86.64746588,3,grid3,0.05,0.19,0.044,0.174,301,313
215,79.94334069,-86.64466976,3,grid3,0.15,0.27,0.134,0.279,306,354
216,79.94420864,-86.6452404,3,grid3,0.2,0.25,0.264,0.229,452,313
217,79.94417561,-86.64790995,3,grid3,0.1,0.14,0.079,0.179,270,437
218,79.9441296,-86.65071487,3,grid3,0.17,0.15,0.169,0.124,340,283
219,79.94502545,-86.65107161,3,grid3,0.11,0.16,0.094,0.164,292,351
220,79.94508664,-86.64829267,3,grid3,0.19,0.21,0.214,0.244,385,398
221,79.94512143,-86.64548004,3,grid3,0.14,0.19,0.134,0.204,328,367
222,79.94600664,-86.64600609,3,grid3,0.18,0.2,0.169,0.194,321,332
223,79.94597169,-86.64878578,3,grid3,0.18,0.21,0.154,0.214,293,349
224,79.94592802,-86.65161895,3,grid3,0.16,0.28,0.164,0.259,351,317
225,79.9468476,-86.6520191,3,grid3,0.13,0.3,0.139,0.284,366,324
226,79.94689043,-86.64890262,3,grid3,0.17,0.11,0.184,0.144,370,448
227,79.94690417,-86.64626216,3,grid3,0.25,0.1,0.214,0.109,293,373
228,79.94232522,-86.65004214,3,grid3,0.16,0.1,0.159,0.109,340,373
